row,antidepressant,celexa,doctor,emt,lexapro,paxil,prozac,psychiatrist,psychologist,therapist,therapy,zoloft
523,0,0,1,0,0,0,0,0,0,0,0,0
527,0,0,0,0,0,0,0,0,0,1,1,0
528,0,0,0,0,0,0,0,0,0,3,1,0
532,0,0,0,0,0,0,0,0,0,4,6,0
536,0,0,0,0,0,0,0,0,0,1,0,0
547,0,0,0,0,0,0,0,0,0,2,1,0
548,0,0,4,0,0,0,0,5,1,8,1,0
549,0,0,0,0,0,0,0,0,1,0,0,0
550,0,0,0,0,0,0,0,0,0,1,1,2
554,0,0,2,0,1,0,0,0,0,4,16,0
555,0,0,0,0,0,0,0,0,0,0,4,0
556,0,0,1,0,0,0,0,1,0,3,6,0
557,0,0,0,0,0,0,0,0,0,0,5,0
558,0,0,0,0,0,0,0,0,0,1,0,0
574,0,0,1,0,0,0,0,0,0,0,0,0
576,0,0,2,0,0,0,0,0,0,0,1,0
578,0,0,0,0,0,0,0,0,0,2,4,0
579,0,0,1,0,0,0,0,0,0,0,1,0
580,0,0,0,0,0,0,0,0,0,1,0,0
583,0,0,0,0,0,0,0,0,0,1,0,0
587,0,0,0,0,0,0,0,0,0,1,0,0
588,0,0,1,0,0,0,0,2,0,10,3,0
594,0,0,0,0,0,0,0,0,0,1,0,0
595,0,0,0,0,0,0,0,0,0,0,1,1
596,0,0,0,0,0,0,0,1,0,0,3,0
597,0,0,0,0,0,0,0,1,1,4,1,0
598,0,0,4,0,0,0,0,6,2,1,6,0
599,0,0,1,0,0,0,0,0,0,0,0,0
600,1,0,0,0,0,0,0,0,0,1,0,0
603,0,0,0,0,0,0,0,0,0,0,5,0
604,0,0,0,0,0,0,0,0,0,4,2,0
612,0,0,1,0,0,0,0,0,0,2,3,0
614,0,0,0,0,0,0,0,0,0,0,2,0
616,0,0,0,0,0,0,0,0,0,0,1,0
619,0,0,1,0,0,0,0,0,0,2,1,0
620,0,0,0,0,0,0,0,0,0,1,0,0
623,0,0,0,0,0,0,0,0,0,2,2,0
627,0,0,0,0,0,0,0,0,1,0,0,0
630,0,0,0,0,0,0,0,1,1,1,0,0
631,0,0,0,0,0,0,0,0,0,2,1,0
634,0,0,0,0,0,0,0,1,0,1,2,1
635,0,0,0,0,0,0,0,0,0,1,0,0
636,0,0,1,0,0,0,0,0,0,5,4,0
637,0,0,0,0,0,0,0,0,0,1,1,0
639,0,0,1,0,0,0,0,0,0,0,2,0
640,0,0,1,0,0,0,0,0,0,0,2,0
641,0,0,0,0,0,0,0,1,0,0,0,0
644,0,0,0,0,0,0,0,0,0,0,1,0
651,0,0,0,0,0,0,0,0,0,1,0,0
657,0,0,0,0,0,0,0,0,0,1,0,0
660,0,0,2,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,0,0,0,0,0,1,0
667,0,0,1,0,0,0,0,0,0,1,0,0
669,0,0,0,0,0,0,0,0,0,0,1,0
671,0,0,1,0,1,0,0,0,1,19,3,0
673,0,0,0,0,0,0,0,6,0,0,0,0
675,0,0,0,0,0,0,0,0,0,9,5,0
678,0,0,0,0,0,0,0,0,0,2,0,0
685,0,0,0,0,0,0,0,0,0,1,2,0
687,0,0,0,0,0,0,0,0,0,3,0,0
688,0,0,0,0,0,0,0,0,0,2,0,0
689,0,0,0,0,0,0,0,0,0,1,1,0
691,0,0,0,0,0,0,0,0,0,0,1,0
693,0,0,1,0,0,0,0,0,0,2,0,0
694,0,0,0,0,0,0,0,0,0,2,0,0
701,2,0,0,0,0,0,0,0,0,0,0,0
705,0,0,2,0,0,0,0,0,1,1,0,0
707,0,0,0,0,0,0,0,0,0,0,1,0
714,0,0,0,0,0,0,0,1,0,0,0,0
715,0,0,2,0,0,0,0,0,0,0,4,0
721,1,0,0,0,0,0,0,0,1,2,0,0
729,0,0,0,0,0,0,0,0,0,0,1,0
737,0,0,7,0,0,0,0,0,0,2,4,0
740,0,0,0,0,0,0,0,0,0,1,0,0
744,0,0,0,0,0,0,0,0,1,3,0,0
748,0,0,0,0,0,0,0,0,0,0,2,0
752,0,0,3,0,0,0,0,1,0,0,6,0
757,0,0,0,0,0,0,0,0,0,1,0,0
759,1,0,0,0,0,0,0,0,0,0,0,0
762,0,0,0,0,0,0,0,4,0,11,13,0
766,0,0,0,0,0,0,0,0,0,1,1,0
768,0,0,0,0,0,0,0,0,0,2,2,0
784,0,0,5,0,0,0,0,1,0,2,2,0
785,0,0,0,0,0,0,0,1,0,0,0,0
789,0,0,1,0,0,0,0,0,1,1,4,0
791,0,0,1,0,0,0,0,0,0,1,3,0
792,0,0,0,0,0,0,0,0,0,1,0,0
794,0,0,0,0,0,0,0,1,2,1,0,0
796,0,0,0,0,0,0,0,0,0,3,0,0
797,0,0,0,0,0,0,0,1,1,3,0,0
798,0,0,0,0,0,0,0,0,0,2,1,0
802,0,0,1,0,0,0,0,0,0,0,0,0
803,0,0,2,0,0,0,0,1,0,5,6,0
806,0,0,0,0,0,0,0,0,1,5,0,0
814,0,0,0,0,0,0,0,0,0,3,2,0
815,0,0,0,0,0,0,0,0,0,1,0,0
817,0,0,0,0,0,0,0,0,0,2,1,0
819,0,0,0,0,0,0,0,0,0,0,2,0
833,0,0,1,0,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,0,0,0,1,1,0
837,0,0,1,0,0,0,0,0,0,0,1,0
838,0,0,0,0,0,0,0,0,0,0,1,0
842,1,0,2,0,0,0,0,2,3,1,1,0
843,0,0,0,0,0,0,0,0,0,1,0,0
846,0,0,28,0,2,0,10,10,1,2,3,0
847,0,0,0,0,0,0,0,0,0,1,0,0
851,0,0,0,0,0,0,0,0,0,0,1,0
852,0,0,0,0,0,0,0,0,0,1,0,0
853,0,0,0,0,0,0,0,0,0,0,0,1
856,0,0,0,0,0,0,0,1,0,1,0,0
860,0,0,9,5,0,0,0,0,0,1,1,0
863,0,0,1,0,0,0,0,0,0,0,0,0
864,0,0,3,0,0,0,0,0,0,2,0,0
870,0,0,0,0,0,0,0,0,0,0,1,0
872,0,0,0,0,0,0,0,0,1,0,0,0
874,0,0,0,0,0,0,0,0,0,1,0,0
879,0,0,0,0,0,0,0,0,0,1,0,0
886,0,0,0,0,0,0,1,0,0,1,0,0
891,0,0,0,0,0,0,0,0,0,2,1,0
897,0,0,1,0,0,0,0,0,0,0,0,0
901,1,0,0,0,0,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0,0,0,1,0
905,0,0,13,0,0,0,0,4,0,1,2,0
908,0,0,0,0,0,0,0,0,0,3,2,0
913,0,0,0,0,0,0,0,1,0,0,1,0
918,0,0,0,0,0,0,0,1,0,1,2,0
921,0,0,4,0,0,0,0,0,0,2,3,4
923,0,0,2,0,0,0,0,0,0,1,0,0
931,0,0,1,0,0,0,0,1,0,0,1,0
934,0,0,0,0,0,0,0,0,0,1,0,0
